action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,392587,[],CHEMBL878818,Induction of acute stomach lesion at a dose of 32 mg/Kg to determine the number of rats with ulceration; 3/5,F,,,BAO_0000193,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,0,=,,Ratio,,,,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ratio,,,,
,,392588,[],CHEMBL791097,Induction of acute stomach lesion at a dose of 100 mg/Kg to determine the number of rats with ulceration; 4/5,F,,,BAO_0000193,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,0,=,,Ratio,,,,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ratio,,,,
,,392589,[],CHEMBL791098,Induction of acute stomach lesion at a dose of 320 mg/Kg to determine the number of rats with ulceration; 5/5,F,,,BAO_0000193,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,0,=,,Ratio,,,,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ratio,,,,
,,392590,[],CHEMBL783761,Compound was evaluated for collagen-induced platelet aggregation in rat ex vivo at the dose of 32 mg/Kg,F,,,BAO_0003036,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1127637,J Med Chem,1994,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,22653,=,1,1,=,,ED50,mg.kg-1,,8.4,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,ED50,mg kg-1,UO_0000308,,8.4
,,399466,[],CHEMBL787541,Compound was evaluated for its antiinflammatory activity in the cotton pellet induced granuloma(CPG) in normal rats at the dose 50 mg/kg p.o.,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1122649,J Med Chem,1984,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://qudt.org/vocab/unit#Percent,306550,=,1,1,=,,Inhibition,%,,24.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Inhibition,%,UO_0000187,,24.0
,,399467,[],CHEMBL774773,Compound was evaluated for its analgesic activity by Randall-Selitto test in comparison with that of Aspirine,F,,,BAO_0000375,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1122649,J Med Chem,1984,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,306550,=,1,0,=,,Activity,,,1.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Activity,,,,1.0
,,399468,[],CHEMBL774774,Compound was evaluated for its antipyretic activity by antipyresis effect in comparison with that of Aspirin.,F,,,BAO_0000375,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1122649,J Med Chem,1984,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,306550,=,1,0,=,,Activity,,,1.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Activity,,,,1.0
,,399469,[],CHEMBL804169,"Compound was evaluated for its gastroulcerogenic effect in rats at a peroral dose of 200 mg/kg, P<0.05.",F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1122649,J Med Chem,1984,,CHEMBL25,ASPIRIN,CHEMBL25,,0,,306550,=,1,0,=,,Ulcerogenic index,,,1.6,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,Ulcerogenic index,,,,1.6
,,428894,[],CHEMBL699491,In vitro inhibition of collagen-induced platelet aggregation in human platelet rich plasma,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1121768,J Med Chem,1981,,CHEMBL25,ASPIRIN,CHEMBL25,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,58380,=,1,1,=,,IC50,ug.mL-1,,10.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,ug ml-1,UO_0000274,,10.0
,,513632,[],CHEMBL761741,In vitro inhibitory activity on platelet aggregation induced by arachidonic acid (AA),F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)Oc1ccccc1C(=O)O,,,CHEMBL1134765,Bioorg Med Chem Lett,2001,,CHEMBL25,ASPIRIN,CHEMBL25,4.70,0,http://www.openphacts.org/units/Nanomolar,176504,=,1,1,=,,IC50,nM,,20000.0,CHEMBL372,Homo sapiens,Homo sapiens,9606,,,IC50,uM,UO_0000065,,20.0
